Job Title,Company Name,Company Logo,Location,Source URL,Posted Date
Back-end Developer (f/m/x),Yassir,https://media.licdn.com/dms/image/v2/D4D0BAQEQn1pDkyWBxA/company-logo_100_100/company-logo_100_100/0/1689455918246/yassir_logo?e=2147483647&v=beta&t=6NKX-k7h597mjdjoQyI-JpuG91gty0SyqTUu1EGVQAA,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/back-end-developer-f-m-x-at-yassir-3683193856?position=2&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=SPirQRqDuwERXfFKVVL6hg%3D%3D,2023-08-06
Software Engineer,Siemens Digital Industries Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-at-siemens-digital-industries-software-4144130346?position=3&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=FMp18SUSPLPVWbs7JwOldA%3D%3D,2025-05-05
Software Development Engineer,Siemens EDA (Siemens Digital Industries Software),,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-eda-siemens-digital-industries-software-4135265405?position=4&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=sVIuapqJB9lWZ44FiqNezw%3D%3D,2025-05-15
Jr. UX/UI Developer,Misr Technology Services,,"Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/jr-ux-ui-developer-at-misr-technology-services-4138413415?position=5&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=pFZ%2F%2FLrfnYx%2Fd8pXhGmXrA%3D%3D,2025-01-29
Developer,SWATX,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/developer-at-swatx-4225514552?position=6&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=JxX0A4ziyJBsXI5iT%2F6Avw%3D%3D,2025-04-12
Software Engineer,SSC HR Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-at-ssc-hr-solutions-4225502174?position=7&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=0HJ28NyHvhBRFOrzBs8Xqg%3D%3D,2025-04-12
Android Developer,Al Ahly Momkn For E-payments,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/android-developer-at-al-ahly-momkn-for-e-payments-4225804163?position=8&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=lMd%2Ftxp%2FbO3Z0KcPbSBuEA%3D%3D,2025-05-11
Staff Software Engineer -Backend,talabat,,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/staff-software-engineer-backend-at-talabat-4230044841?position=9&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=AfcJiJLntfW8GfQE6ZKiiw%3D%3D,2025-05-14
PHP Software Engineer - Jumia (Full Time),Jumia Group,https://media.licdn.com/dms/image/v2/D4D0BAQFr87GzlEEPaQ/company-logo_100_100/company-logo_100_100/0/1733215759541/jumia_group_logo?e=2147483647&v=beta&t=esgH7nqCMbuH23bQF7_W1OGSrpNidr2oDOsDFhxxVBk,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/php-software-engineer-jumia-full-time-at-jumia-group-4202260432?position=10&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=AeHnQ1uY%2FcjyxzcRUbttRA%3D%3D,2025-04-06
Software Development Engineer,Siemens Digital Industries Software,https://media.licdn.com/dms/image/v2/D4E0BAQFTiUh1DUJ3fA/company-logo_100_100/company-logo_100_100/0/1719793387652/siemenssoftware_logo?e=2147483647&v=beta&t=o3SrSdxMeP1br7rpKknaX62uVBkomXcqvR0mjnb0kBc,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-digital-industries-software-4169519002?position=1&pageNum=5&refId=czYYbGMvG0be2gnFGWkVkA%3D%3D&trackingId=VZSbYOkD6mFa7HY4%2B8XlAQ%3D%3D,2025-05-04
SSP - R&D Front End Developer Intern,Siemens,https://media.licdn.com/dms/image/v2/D4D0BAQFK_4wGnzwPTQ/company-logo_100_100/company-logo_100_100/0/1719931174735/siemens_logo?e=2147483647&v=beta&t=iNZVOYYuYOnkz09IBCFrK9Ik8uTqP6ZDnhCEJjPouV4,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/ssp-r-d-front-end-developer-intern-at-siemens-4222819563?position=2&pageNum=5&refId=czYYbGMvG0be2gnFGWkVkA%3D%3D&trackingId=ZVw6dlgE8fF18yM%2BXji2Yg%3D%3D,2025-05-06
Software Development Engineer,Siemens Digital Industries Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-digital-industries-software-4143599542?position=3&pageNum=5&refId=czYYbGMvG0be2gnFGWkVkA%3D%3D&trackingId=9225K6cN0TWGvNtpRUeczw%3D%3D,2025-05-03
